brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
53300.0,for_sale,950000.0,5.0,2.0,0.05,1478741.0,Bronx,New York,10471.0,2056.0,2015-11-16
30556.0,for_sale,995000.0,10.0,5.0,,884970.0,Bronx,New York,10458.0,2568.0,2017-01-27
16829.0,for_sale,1295000.0,1.0,1.0,,1297360.0,Manhattan,New York,10014.0,775.0,2014-12-16
16829.0,for_sale,1850000.0,3.0,3.0,,1314535.0,Manhattan,New York,10022.0,1890.0,2016-04-27
86501.0,for_sale,680000.0,2.0,1.0,0.02,1634719.0,Brooklyn,New York,11232.0,672.0,2017-04-11
76947.0,for_sale,785000.0,1.0,1.0,,1222176.0,Manhattan,New York,10022.0,,2020-02-19
94239.0,for_sale,755000.0,5.0,2.0,0.04,1818275.0,Bronx,New York,10456.0,2601.0,2018-03-06
76890.0,for_sale,195000.0,1.0,1.0,,394489.0,Bronx,New York,10462.0,636.0,2016-08-18
2055.0,for_sale,959000.0,8.0,4.0,0.07,1553868.0,Bronx,New York,10466.0,,2019-01-09
81944.0,for_sale,2999000.0,6.0,6.0,0.05,1357475.0,Brooklyn,New York,11220.0,4600.0,2017-03-01
92894.0,for_sale,2125000.0,2.0,3.0,,438814.0,Brooklyn,New York,11238.0,2150.0,2019-10-09
7601.0,for_sale,989000.0,8.0,6.0,0.03,1266388.0,Bronx,New York,10457.0,2779.0,2018-05-22
92891.0,for_sale,1295000.0,2.0,2.0,,382095.0,Brooklyn,New York,11211.0,1070.0,2014-11-26
92891.0,for_sale,4600000.0,4.0,4.0,,8887.0,Brooklyn,New York,11201.0,2584.0,2016-08-29
16829.0,for_sale,899000.0,2.0,1.0,,1184138.0,Manhattan,New York,10022.0,,2019-07-17
23806.0,for_sale,769000.0,2.0,3.0,0.04,1674464.0,Bronx,New York,10456.0,,2016-03-18
67939.0,for_sale,785000.0,3.0,2.0,,1653674.0,Queens,New York,11385.0,1400.0,2021-09-01
12996.0,for_sale,215000.0,1.0,1.0,,1469022.0,Bronx,New York,10463.0,725.0,2017-05-17
16829.0,for_sale,2995000.0,3.0,4.0,,652574.0,Manhattan,New York,10128.0,,2014-06-10
41915.0,for_sale,175000.0,1.0,1.0,,1362284.0,Bronx,New York,10471.0,750.0,2019-09-19
53227.0,for_sale,425000.0,3.0,2.0,,1547642.0,Bronx,New York,10463.0,1250.0,2015-09-14
16829.0,for_sale,699000.0,1.0,1.0,,390665.0,Manhattan,New York,10019.0,,2016-10-17
